id,name,url
001,"Колбаса Есть Московская сырокопченая весовая",http://192.168.1.100:5173/src/magnit/products/1000242419/index.html
002,"Колбаса Естъ Миланская сырокопченая весовая",http://192.168.1.100:5173/src/magnit/products/5555552655/index.html
003,"Ветчина Индилайт Кампана из грудки индейки вареная нарезка 120г",http://192.168.1.100:5173/src/magnit/products/1000444730/index.html
004,"Яйцо куриное Птицефабрика Новороссийск С0 отборное 10шт",http://192.168.1.100:5173/src/magnit/products/1000315735/index.html
005,"Яйцо столовое C1 30шт",http://192.168.1.100:5173/src/magnit/products/2047000010/index.html
006,"Сыр Тбилисский Рокфорини с голубой плесенью 50% весовой",http://192.168.1.100:5173/src/magnit/products/1000144783/index.html
007,"Сыр Камамбер с белой плесенью 50% 125г",http://192.168.1.100:5173/src/magnit/products/1000558098/index.html
008,"Салат Цезарь 150г",http://192.168.1.100:5173/src/magnit/products/1000428838/index.html
009,"Борщ с мясом 250г",http://192.168.1.100:5173/src/magnit/products/1000327829/index.html
