id,name,url
001,"Колбаса Есть Московская сырокопченая весовая",https://magnit.ru/product/1000242419-est_kolbasa_moskovskaya_s_k_mini_n_o_kolbasa_myas_pr_dinsk?shopCode=992301&shopType=6
002,"Колбаса Естъ Миланская сырокопченая весовая",https://magnit.ru/product/5555552655-kolbasa_milanskaya_est_s_k_v_myas_pr_dinskoy_mk_0_5?shopCode=992301&shopType=6
003,"Ветчина Индилайт Кампана из грудки индейки вареная нарезка 120г",https://magnit.ru/product/1000444730-indilayt_vetchina_kampana_iz_grudki_indeyki_narez_var_0_12kg?shopCode=992301&shopType=6
004,"Яйцо куриное Птицефабрика Новороссийск С0 отборное 10шт",https://magnit.ru/product/1000315735-ptitsefabrika_novorossiysk_yaytsa_kurinye_otbornye_so_10sht_20?shopCode=992301&shopType=6
005,"Яйцо столовое C1 30шт",https://magnit.ru/product/2047000010-yaytso_stolovoe_s1_fas_30sht_term_up_8?shopCode=992301&shopType=6
006,"Сыр Тбилисский Рокфорини с голубой плесенью 50% весовой",https://magnit.ru/product/1000144783-syr_rokforini_s_goluboy_ples_50_v_tbilisskiy_2_6?shopCode=992301&shopType=6
007,"Сыр Камамбер с белой плесенью 50% 125г",https://magnit.ru/product/1000558098-syr_kamamber_s_beloy_plesenyu_125g_50_k_up_kaloriya?shopCode=992301&shopType=6
008,"Салат Цезарь 150г",https://magnit.ru/product/1000428838-vkusnye_traditsii_salat_tsezar_0_15kg_kont_safonov?shopCode=992301&shopType=6
009,"Борщ с мясом 250г",https://magnit.ru/product/1000327829-borshch_naturbufet_s_myasom_250g_lotok_6?shopCode=992301&shopType=6
